component,title_es,title_ca,title_pt,title_en
cardo,Tiene un efecto anti-inflamatorio del hígado y le ayuda a regenerarse.,Té un efecte antiinflamatori del fetge i l'ajuda a regenerar-se.,Tem um efeito anti-inflamatório do fígado que o ajuda a regenerar-se,It has an anti-inflammatory effect on the liver that helps it to regenerate itself
cardo,Previene del daño sufrido por el hígado ante intoxicación etílica o de Amanita.,Prevé dels danys soferts pel fetge com a conseqüència d'intoxicacions etíliques o d'Amanita.,Previne danos no fígado causados por intoxicações alcoólicas.,Prevents liver damage caused by alcoholic intoxications or Amanita intoxications.
cardo,"Ayuda con el tratamiento y la protección de enfermedades del hígado y de la vesícula biliar, tales como la hepatitis, la cirrosis, el hígado graso o la insuficiencia hepática.","Ajuda amb el tractament i la protecció de malalties del fetge i la vesícula biliar, tals com l'hepatitis, la cirrosi, el fetge gras o la insuficiència hepàtica.","Ajuda no tratamento e proteção de doenças do fígado e da vesícula biliar, como hepatite, cirrose ou insuficiencia hepática.","Helps in the treatment and protection of diseases of the liver and gallbladder, such as hepatitis, cirrhosis or liver failure."
cardo,Interviene favorablemente en caso de piedras en el riñón y la vesícula.,Intervé favorablement en cas de pedres al ronyó i a la vesícula.,Intervem favorávelmente em caso de pedras nos rins ou da vesícula.,Intervenes favorably in case of kidney stones.
cardo,Mejora la dispepsia y acidez estomacal.,Millora la dispèpsia i l'acidés estomacal.,Melhora a dispepsia e acidez do estomago,Improves dyspepsia and the acidity of the stomach
cardo,Protege nuestro organismo de las picaduras de serpientes e insectos.,Protegeix el nostre organisme de picadures de serp i de mosquits.,Protege o nosso organismo de picadas de serpentes ou insetos.,Protects our body from snake or insect bites.
cardo,Reduce los niveles altos de colesterol y disminuye el riesgo de padecer diabetes.,Redueix els nivells alts de colesterol i disminueix el risc de patir diabetis.,Reduz os níveis altos de colesterol e diminui o risco de aparecer diabetes.,Reduces high cholesterol and decreases the risk of diabetes.
b12,"El consumo desmesurado de alcohol, café o tabaco produce un aumento en la concentración plasmática de homocisteína, la vitamina B12 contribuye a su metabolismo.","El consum desmesurat d'alcohol, cafè o tabac produeix un augment de la concentració plasmàtica d'homocisteïna, la vitamina B12 contribueix al seu metabolisme.","O consumo excessivo de álcool, café ou tabaco produz un aumento na concentração plasmática de homocisteína, sendo que a vitamina B12 ajuda o seu metabolismo.","The excessive consumption of alcohol, coffee or tobacco produces an increase in the plasma concentration of homocysteine, and vitamin B12 helps its metabolism.  "
b12,Contribuye al metabolismo productor de energía.,Contribueix al metabolisme productor d'energia.,Contribui para o metabolismo produtor de energia.,Contributes to the energy production metabolization
b12,Ayuda a combatir estados de depresión o trastornos emocionales.,Beneficiosa per a combatre estats de depressió o trastorns emocionals.,Ajuda a combater estados de depressão ou transtornos emocionais,It helps fight depression states or emotional disorders
b12,Ayuda a mantener sanas las neuronas y los glóbulos sanguíneos.,Ajuda a mantenir sanes les neurones i els glòbuls sanguinis.,Ajuda a manter saudáveis os neurôneos e os globos sanguíneos,Helps maintaining healthy neurons and blood cells
b12,Contribuye a la elaboración del ADN.,Contribueix a l'elaboració de l'ADN.,Contribui para a elaboração do ADN,Contributes to the elaboration of DNA
b12,"Previene un tipo de anemia, denominada anemia megaloblástica, que provoca cansancio y debilidad.","Prevé un tipus d'anèmia, denominada anèmia megaloblàstica, que provoca cansament i debilitat.","Previne um tipo de anemia, denominada por anemia megaloblástica, que provoca cansaço e debilidade.","It prevents a type of anemia, called megaloblastic anemia, that causes fatigue and weakness."
b12,Elemento fundamental para la producción de glóbulos rojos.,Element fonamental en la producció de glòbuls vermells.,Elemento fundamental para a produção de glóbulos vermelhos.,Fundamental element for the production of red blood cells.
